frontdistances1,frontdistances2,frontdistances3,frontdistances4,frontdistances5,frontdistances6,frontdistances7,frontdistances8,frontdistances9,frontdistances10,frontdistances11,frontdistances12,frontdistances13,frontdistances14,frontdistances15,frontdistances16,frontdistances17,frontdistances18,frontdistances19,Speed,accelerate,brake,steering,target speed,
5.00117,5.77431,7.77893,9.99952,11.8296,14.6159,19.3113,28.774,57.2752,19.99578,57.4623,28.8137,19.3257,14.6221,11.8324,10.0005,7.7783,5.77269,4.99883,-0.00857661,1.0,0.0,2.4430057967552153E-4,115.63372423825807,
5.00117,5.77431,7.77893,9.99952,11.8296,14.6159,19.3113,28.774,57.2752,19.99578,57.4623,28.8137,19.3257,14.6221,11.8324,10.0005,7.7783,5.77269,4.99883,-0.00857661,1.0,0.0,2.4430057967552153E-4,115.63372423825807,
5.00117,5.77431,7.77893,9.99952,11.8296,14.6159,19.3113,28.774,57.2752,19.99578,57.4623,28.8137,19.3257,14.6221,11.8324,10.0005,7.7783,5.77269,4.99883,-0.00857661,1.0,0.0,2.4430057967552153E-4,115.63372423825807,
5.00117,5.77431,7.77893,9.99952,11.8296,14.6159,19.3113,28.774,57.2752,19.99578,57.4623,28.8137,19.3257,14.6221,11.8324,10.0005,7.7783,5.77269,4.99883,-0.00857661,1.0,0.0,2.4430057967552153E-4,115.63372423825807,
5.00117,5.77431,7.77893,9.99952,11.8296,14.6159,19.3113,28.774,57.2752,19.99578,57.4623,28.8137,19.3257,14.6221,11.8324,10.0005,7.7783,5.77269,4.99883,-0.00857661,1.0,0.0,2.4430057967552153E-4,115.63372423825807,
5.00117,5.77431,7.77893,9.99952,11.8296,14.6159,19.3113,28.774,57.2752,19.99578,57.4623,28.8137,19.3257,14.6221,11.8324,10.0005,7.7783,5.77269,4.99883,-0.00857661,1.0,0.0,2.4430057967552153E-4,115.63372423825807,
5.00117,5.77431,7.77893,9.99952,11.8296,14.6159,19.3113,28.774,57.2752,19.99578,57.4623,28.8137,19.3257,14.6221,11.8324,10.0005,7.7783,5.77269,4.99883,-0.00857661,1.0,0.0,2.4430057967552153E-4,115.63372423825807,
5.00117,5.77431,7.77893,9.99952,11.8296,14.6159,19.3113,28.774,57.2752,19.99578,57.4623,28.8137,19.3257,14.6221,11.8324,10.0005,7.7783,5.77269,4.99883,-0.00857661,1.0,0.0,2.4430057967552153E-4,115.63372423825807,
5.00117,5.77431,7.77893,9.99952,11.8296,14.6159,19.3113,28.774,57.2752,19.99578,57.4623,28.8137,19.3257,14.6221,11.8324,10.0005,7.7783,5.77269,4.99883,-0.00857661,1.0,0.0,2.4430057967552153E-4,115.63372423825807,
5.00117,5.77431,7.77893,9.99952,11.8296,14.6159,19.3113,28.774,57.2752,19.99578,57.4623,28.8137,19.3257,14.6221,11.8324,10.0005,7.7783,5.77269,4.99883,-0.00857661,1.0,0.0,2.4430057967552153E-4,115.63372423825807,
5.00117,5.77431,7.77893,9.99952,11.8296,14.6159,19.3113,28.774,57.2752,19.99578,57.4623,28.8137,19.3257,14.6221,11.8324,10.0005,7.7783,5.77269,4.99883,-0.00857661,1.0,0.0,2.4430057967552153E-4,115.63372423825807,
5.00117,5.77431,7.77893,9.99952,11.8296,14.6159,19.3113,28.774,57.2752,19.99578,57.4623,28.8137,19.3257,14.6221,11.8324,10.0005,7.7783,5.77269,4.99883,-0.00857661,1.0,0.0,2.4430057967552153E-4,115.63372423825807,
5.00117,5.77431,7.77893,9.99952,11.8296,14.6159,19.3113,28.774,57.2752,19.99578,57.4623,28.8137,19.3257,14.6221,11.8324,10.0005,7.7783,5.77269,4.99883,-0.00857661,1.0,0.0,2.4430057967552153E-4,115.63372423825807,
5.00117,5.77431,7.77893,9.99952,11.8296,14.6159,19.3113,28.774,57.2752,19.99578,57.4623,28.8137,19.3257,14.6221,11.8324,10.0005,7.7783,5.77269,4.99883,-0.00857661,1.0,0.0,2.4430057967552153E-4,115.63372423825807,
5.00117,5.77431,7.77893,9.99952,11.8296,14.6159,19.3113,28.774,57.2752,19.99578,57.4623,28.8137,19.3257,14.6221,11.8324,10.0005,7.7783,5.77269,4.99883,-0.00857661,1.0,0.0,2.4430057967552153E-4,115.63372423825807,
5.00117,5.77431,7.77893,9.99952,11.8296,14.6159,19.3113,28.774,57.2752,19.99578,57.4623,28.8137,19.3257,14.6221,11.8324,10.0005,7.7783,5.77269,4.99883,-0.00857661,1.0,0.0,2.4430057967552153E-4,115.63372423825807,
5.00117,5.77431,7.77893,9.99952,11.8296,14.6159,19.3113,28.774,57.2752,19.99578,57.4623,28.8137,19.3257,14.6221,11.8324,10.0005,7.7783,5.77269,4.99883,-0.00857661,1.0,0.0,2.4430057967552153E-4,115.63372423825807,
5.00117,5.77431,7.77893,9.99952,11.8296,14.6159,19.3113,28.774,57.2752,19.99578,57.4623,28.8137,19.3257,14.6221,11.8324,10.0005,7.7783,5.77269,4.99883,-0.00857661,1.0,0.0,2.4430057967552153E-4,115.63372423825807,
5.00117,5.77431,7.77893,9.99952,11.8296,14.6159,19.3113,28.774,57.2752,19.99578,57.4623,28.8137,19.3257,14.6221,11.8324,10.0005,7.7783,5.77269,4.99883,-0.00857661,1.0,0.0,2.4430057967552153E-4,115.63372423825807,
