frontdistances1,frontdistances2,frontdistances3,frontdistances4,frontdistances5,frontdistances6,frontdistances7,frontdistances8,frontdistances9,frontdistances10,frontdistances11,frontdistances12,frontdistances13,frontdistances14,frontdistances15,frontdistances16,frontdistances17,frontdistances18,frontdistances19,Speed,accelerate,brake,steering,target speed,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
6.5001,7.4903,10.0697,12.9207,15.2642,18.8213,24.7858,36.6932,71.6696,20.0056,77.7359,38.2017,25.4515,19.192,15.4984,13.0805,10.1552,7.52096,6.49999,0.0182273,1.0,0.0,0.006302338517307611,145.33070503883647,
