frontdistances1,frontdistances2,frontdistances3,frontdistances4,frontdistances5,frontdistances6,frontdistances7,frontdistances8,frontdistances9,frontdistances10,frontdistances11,frontdistances12,frontdistances13,frontdistances14,frontdistances15,frontdistances16,frontdistances17,frontdistances18,frontdistances19,Speed,accelerate,brake,steering,target speed,
7.99968,9.23302,12.4336,15.9775,18.8968,23.3388,16.12414,44.709,74.3698,29.9716,46.3175,23.1408,15.5018,11.7216,9.48166,8.01162,6.22927,4.62128,4.00032,-0.00987623,1.0,0.0,-0.032713662381529784,129.47160467849898,
7.99968,9.23302,12.4336,15.9775,18.8968,23.3388,16.12414,44.709,74.3698,29.9716,46.3175,23.1408,15.5018,11.7216,9.48166,8.01162,6.22927,4.62128,4.00032,-0.00987623,1.0,0.0,-0.032713662381529784,129.47160467849898,
7.99968,9.23302,12.4336,15.9775,18.8968,23.3388,16.12414,44.709,74.3698,29.9716,46.3175,23.1408,15.5018,11.7216,9.48166,8.01162,6.22927,4.62128,4.00032,-0.00987623,1.0,0.0,-0.032713662381529784,129.47160467849898,
7.99968,9.23302,12.4336,15.9775,18.8968,23.3388,16.12414,44.709,74.3698,29.9716,46.3175,23.1408,15.5018,11.7216,9.48166,8.01162,6.22927,4.62128,4.00032,-0.00987623,1.0,0.0,-0.032713662381529784,129.47160467849898,
7.99968,9.23302,12.4336,15.9775,18.8968,23.3388,16.12414,44.709,74.3698,29.9716,46.3175,23.1408,15.5018,11.7216,9.48166,8.01162,6.22927,4.62128,4.00032,-0.00987623,1.0,0.0,-0.032713662381529784,129.47160467849898,
7.99968,9.23302,12.4336,15.9775,18.8968,23.3388,16.12414,44.709,74.3698,29.9716,46.3175,23.1408,15.5018,11.7216,9.48166,8.01162,6.22927,4.62128,4.00032,-0.00987623,1.0,0.0,-0.032713662381529784,129.47160467849898,
7.99968,9.23302,12.4336,15.9775,18.8968,23.3388,16.12414,44.709,74.3698,29.9716,46.3175,23.1408,15.5018,11.7216,9.48166,8.01162,6.22927,4.62128,4.00032,-0.00987623,1.0,0.0,-0.032713662381529784,129.47160467849898,
7.99968,9.23302,12.4336,15.9775,18.8968,23.3388,16.12414,44.709,74.3698,29.9716,46.3175,23.1408,15.5018,11.7216,9.48166,8.01162,6.22927,4.62128,4.00032,-0.00987623,1.0,0.0,-0.032713662381529784,129.47160467849898,
7.99968,9.23302,12.4336,15.9775,18.8968,23.3388,16.12414,44.709,74.3698,29.9716,46.3175,23.1408,15.5018,11.7216,9.48166,8.01162,6.22927,4.62128,4.00032,-0.00987623,1.0,0.0,-0.032713662381529784,129.47160467849898,
7.99968,9.23302,12.4336,15.9775,18.8968,23.3388,16.12414,44.709,74.3698,29.9716,46.3175,23.1408,15.5018,11.7216,9.48166,8.01162,6.22927,4.62128,4.00032,-0.00987623,1.0,0.0,-0.032713662381529784,129.47160467849898,
7.99968,9.23302,12.4336,15.9775,18.8968,23.3388,16.12414,44.709,74.3698,29.9716,46.3175,23.1408,15.5018,11.7216,9.48166,8.01162,6.22927,4.62128,4.00032,-0.00987623,1.0,0.0,-0.032713662381529784,129.47160467849898,
7.99968,9.23302,12.4336,15.9775,18.8968,23.3388,16.12414,44.709,74.3698,29.9716,46.3175,23.1408,15.5018,11.7216,9.48166,8.01162,6.22927,4.62128,4.00032,-0.00987623,1.0,0.0,-0.032713662381529784,129.47160467849898,
7.99968,9.23302,12.4336,15.9775,18.8968,23.3388,16.12414,44.709,74.3698,29.9716,46.3175,23.1408,15.5018,11.7216,9.48166,8.01162,6.22927,4.62128,4.00032,-0.00987623,1.0,0.0,-0.032713662381529784,129.47160467849898,
7.99968,9.23302,12.4336,15.9775,18.8968,23.3388,16.12414,44.709,74.3698,29.9716,46.3175,23.1408,15.5018,11.7216,9.48166,8.01162,6.22927,4.62128,4.00032,-0.00987623,1.0,0.0,-0.032713662381529784,129.47160467849898,
7.99968,9.23302,12.4336,15.9775,18.8968,23.3388,16.12414,44.709,74.3698,29.9716,46.3175,23.1408,15.5018,11.7216,9.48166,8.01162,6.22927,4.62128,4.00032,-0.00987623,1.0,0.0,-0.032713662381529784,129.47160467849898,
7.99968,9.23302,12.4336,15.9775,18.8968,23.3388,16.12414,44.709,74.3698,29.9716,46.3175,23.1408,15.5018,11.7216,9.48166,8.01162,6.22927,4.62128,4.00032,-0.00987623,1.0,0.0,-0.032713662381529784,129.47160467849898,
