frontdistances1,frontdistances2,frontdistances3,frontdistances4,frontdistances5,frontdistances6,frontdistances7,frontdistances8,frontdistances9,frontdistances10,frontdistances11,frontdistances12,frontdistances13,frontdistances14,frontdistances15,frontdistances16,frontdistances17,frontdistances18,frontdistances19,Speed,accelerate,brake,steering,target speed,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
8.0,9.2376,12.4458,16.0,18.9296,23.3904,30.9096,46.0702,91.7899,20.0,91.7896,46.0701,30.9096,23.3904,18.9296,16.0,12.4458,9.23761,8.0,0.0,1.0,0.0,-2.5944678377713244E-7,174.585506271013,
