frontdistances1,frontdistances2,frontdistances3,frontdistances4,frontdistances5,frontdistances6,frontdistances7,frontdistances8,frontdistances9,frontdistances10,frontdistances11,frontdistances12,frontdistances13,frontdistances14,frontdistances15,frontdistances16,frontdistances17,frontdistances18,frontdistances19,Speed,accelerate,brake,steering,target speed,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
7.5,8.66025,11.6679,15.0,17.7465,21.9285,28.9778,43.1907,20.0,119.9998,86.053,43.1908,28.9778,21.9285,17.7465,15.0,11.6679,8.66025,7.5,0.0,1.0,0.0,0.12024328984072412,214.87253345528256,
